event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147021320,,,,2005,Norrk?ping,female,2023-05-04 00:05:50,P7,2023-05-04 00:05:56,6.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2147021165,,,,,,both,2023-05-04 00:05:56,P7,2023-05-04 00:06:02,6.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2147021163,,,,2017,,both,2023-05-04 00:05:56,P7,2023-05-04 00:06:02,6.0
DataViewCreated,DataView_2147021121,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:05:56,P7,2023-05-04 00:06:02,6.0
DataViewCreated,DataView_2147021120,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:05:56,P7,2023-05-04 00:06:02,6.0
DataViewCreated,DataView_2147021119,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:05:56,P7,2023-05-04 00:06:02,6.0
DataViewCreated,DataView_2147021118,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:05:56,P7,2023-05-04 00:06:02,6.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147021163,,,,2017,Norrk?ping,both,2023-05-04 00:06:02,P7,2023-05-04 00:06:03,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147021163,,,,2017,Norrk?ping,male,2023-05-04 00:06:03,P7,2023-05-04 00:06:04,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147021163,,,,2017,Norrk?ping,male,2023-05-04 00:06:04,P7,2023-05-04 00:06:07,3.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2147021008,,,,,,both,2023-05-04 00:06:07,P7,2023-05-04 00:06:10,3.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2147021006,,,,2017,,both,2023-05-04 00:06:07,P7,2023-05-04 00:06:10,3.0
DataViewCreated,DataView_2147020964,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:06:07,P7,2023-05-04 00:06:10,3.0
DataViewCreated,DataView_2147020963,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:06:07,P7,2023-05-04 00:06:10,3.0
DataViewCreated,DataView_2147020962,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:06:07,P7,2023-05-04 00:06:10,3.0
DataViewCreated,DataView_2147020961,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:06:07,P7,2023-05-04 00:06:10,3.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147021006,,,,2017,Norrk?ping,both,2023-05-04 00:06:10,P7,2023-05-04 00:06:11,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147021006,,,,2017,Norrk?ping,female,2023-05-04 00:06:11,P7,2023-05-04 00:06:12,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147021006,,,,2017,Norrk?ping,female,2023-05-04 00:06:12,P7,2023-05-04 00:07:04,52.0
Task 5,,,,,,,,2023-05-04 00:07:04,P7,2023-05-04 00:07:16,12.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2147021008,,,,,,both,2023-05-04 00:07:16,P7,2023-05-04 00:07:18,2.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2147021006,,,,,,both,2023-05-04 00:07:16,P7,2023-05-04 00:07:18,2.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2147021165,,,,,,both,2023-05-04 00:07:18,P7,2023-05-04 00:07:19,1.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2147021163,,,,,,both,2023-05-04 00:07:18,P7,2023-05-04 00:07:19,1.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2147021322,,,,,,both,2023-05-04 00:07:18,P7,2023-05-04 00:07:19,1.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2147021320,,,,,,both,2023-05-04 00:07:18,P7,2023-05-04 00:07:19,1.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2147021479,,,,,,both,2023-05-04 00:07:19,P7,2023-05-04 00:07:22,3.0
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2147021477,,,,,,both,2023-05-04 00:07:19,P7,2023-05-04 00:07:22,3.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2147020834,,,,,,both,2023-05-04 00:07:22,P7,2023-05-04 00:07:27,5.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2147020832,,,,2017,,both,2023-05-04 00:07:22,P7,2023-05-04 00:07:27,5.0
DataViewCreated,DataView_2147020790,Income-Main,Income,"[Income, Year]",,,both,2023-05-04 00:07:22,P7,2023-05-04 00:07:27,5.0
DataViewCreated,DataView_2147020789,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,both,2023-05-04 00:07:22,P7,2023-05-04 00:07:27,5.0
DataViewCreated,DataView_2147020788,Income-Education-Side,EducationIncome,"[Education, Year]",,,both,2023-05-04 00:07:22,P7,2023-05-04 00:07:27,5.0
DataViewCreated,DataView_2147020787,AverageIncome-Nation,AverageIncome,[Year],,,both,2023-05-04 00:07:22,P7,2023-05-04 00:07:27,5.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2147020679,,,,,,both,2023-05-04 00:07:27,P7,2023-05-04 00:07:33,6.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2017,,both,2023-05-04 00:07:27,P7,2023-05-04 00:07:33,6.0
