event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
DataViewCreated,DataView_2146406119,Education-Age-Side,Education,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:19:06,P3
DataViewCreated,DataView_2146406118,Education-Income-Side,EducationIncome,"[Income, Year]",,,,2023-05-04 00:19:06,P3
DataViewCreated,DataView_2146406117,AverageEducation-Nation,AverageEducation,[Year],,,,2023-05-04 00:19:06,P3
ActorSpawned,BP_RegionMarker3DWidgets_C_2146406009,,,,,,,2023-05-04 00:19:07,P3
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2017,,,2023-05-04 00:19:07,P3
DataViewCreated,DataView_2146405965,Education-Main,Education,"[Education, Year]",,,,2023-05-04 00:19:07,P3
DataViewCreated,DataView_2146405964,Education-Age-Side,Education,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:19:07,P3
DataViewCreated,DataView_2146405963,Education-Income-Side,EducationIncome,"[Income, Year]",,,,2023-05-04 00:19:07,P3
DataViewCreated,DataView_2146405962,AverageEducation-Nation,AverageEducation,[Year],,,,2023-05-04 00:19:07,P3
ActorSpawned,BP_RegionMarker3DWidgets_C_2146405854,,,,,,,2023-05-04 00:19:27,P3
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146405852,,,,2017,,,2023-05-04 00:19:27,P3
DataViewCreated,DataView_2146405810,Education-Main,Education,"[Education, Year]",,,,2023-05-04 00:19:27,P3
DataViewCreated,DataView_2146405809,Education-Age-Side,Education,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:19:27,P3
DataViewCreated,DataView_2146405808,Education-Income-Side,EducationIncome,"[Income, Year]",,,,2023-05-04 00:19:27,P3
DataViewCreated,DataView_2146405807,AverageEducation-Nation,AverageEducation,[Year],,,,2023-05-04 00:19:27,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2017,Norrk?ping,,2023-05-04 00:19:32,P3
ActorSpawned,BP_RegionMarker3DWidgets_C_2146405698,,,,,,,2023-05-04 00:19:33,P3
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146405696,,,,2017,,,2023-05-04 00:19:33,P3
DataViewCreated,DataView_2146405654,Education-Main,Education,"[Education, Year]",,,,2023-05-04 00:19:33,P3
DataViewCreated,DataView_2146405653,Education-Age-Side,Education,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:19:33,P3
DataViewCreated,DataView_2146405652,Education-Income-Side,EducationIncome,"[Income, Year]",,,,2023-05-04 00:19:33,P3
DataViewCreated,DataView_2146405651,AverageEducation-Nation,AverageEducation,[Year],,,,2023-05-04 00:19:33,P3
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146405698,,,,,,,2023-05-04 00:19:37,P3
FilterSetDestroyed,FilterSet_WBP_BubbleGroup_C_2146405696,,,,,,,2023-05-04 00:19:37,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2017,Norrk?ping,,2023-05-04 00:19:39,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2017,Norrk?ping,female,2023-05-04 00:19:42,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2017,Norrk?ping,male,2023-05-04 00:19:43,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2017,Norrk?ping,male,2023-05-04 00:19:44,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2017,Norrk?ping,female,2023-05-04 00:19:45,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2017,Norrk?ping,,2023-05-04 00:19:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2017,Norrk?ping,male,2023-05-04 00:19:52,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146405852,,,,2017,Norrk?ping,,2023-05-04 00:19:53,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146405852,,,,2017,Norrk?ping,male,2023-05-04 00:19:54,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2016,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2015,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2014,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2012,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2011,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2009,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2008,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2007,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2006,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2005,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2004,Norrk?ping,male,2023-05-04 00:19:57,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2003,Norrk?ping,male,2023-05-04 00:19:58,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2002,Norrk?ping,male,2023-05-04 00:19:58,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2001,Norrk?ping,male,2023-05-04 00:19:58,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2002,Norrk?ping,male,2023-05-04 00:19:58,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2003,Norrk?ping,male,2023-05-04 00:19:58,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2004,Norrk?ping,male,2023-05-04 00:19:59,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406007,,,,2005,Norrk?ping,male,2023-05-04 00:19:59,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2016,Norrk?ping,male,2023-05-04 00:20:01,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2017,Norrk?ping,male,2023-05-04 00:20:01,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2015,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2016,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2014,Norrk?ping,male,2023-05-04 00:20:02,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406321,,,,2015,Norrk?ping,male,2023-05-04 00:20:02,P3
